Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.018513,-0.021403,-1.8525E-05,0,0,0,0.74876,0.0010917,-9.5107E-08,-2.8418E-07,0.0028678,4.0546E-07,0.0018238,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/base_link.STL,,WX-250_XM-430 Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
2nd_Link,-0.00046236,7.9083E-05,0.037859,0,0,0,0.12533,4.8212E-05,2.9661E-13,1.6188E-07,5.5046E-05,-1.2315E-13,5.4426E-05,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/2nd_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/2nd_Link.STL,,2nd_axis-1,Origin_shoulder_pitch2,Axis_shoulder_pitch,shoulder_pitch,revolute,0,-0.0525,0,1.5708,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
3rd_Link,0.12924,-0.0057205,0.10788,0,0,0,0.17134,9.322E-05,1.2012E-07,-4.7978E-05,0.00015434,3.4087E-07,9.6657E-05,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/3rd_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/3rd_Link.STL,,3rd_axis-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,revolute,0,0,0.071063,0,0,1.5708,2nd_Link,0,1,0,0,0,0,0,,,,,,,,
forearm_root_Link,-0.10011,-0.0078416,0.22401,0,0,0,0.096113,3.0349E-05,-2.5702E-08,4.319E-06,2.9505E-05,7.6639E-08,1.8919E-05,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/forearm_root_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/forearm_root_Link.STL,,forearm_root-2,Origin_forearm_root_joint,Axis_forearm_root_joint,forearm_root_joint,revolute,0.03475,0,0.14175,3.1416,1.1223,3.1416,3rd_Link,0,1,0,0,0,0,0,,,,,,,,
forearm_tip_link,-0.050093,-0.16611,-0.12207,0,0,0,0.12969,3.1E-05,-4.8271E-06,3.0946E-06,2.7182E-05,-2.7996E-06,3.8442E-05,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/forearm_tip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/forearm_tip_link.STL,,WXA-250-6DOF_Forearm-1,Origin_forearm_tip_joint,Axis_forearm_tip_joint,forearm_tip_joint,revolute,0,0,0.152127773193381,-1.57079623312719,0,-1.14431186755646,forearm_root_Link,0,1,0,0,0,0,0,,,,,,,,
wrist_link,0.411643183385185,-0.0463931842778506,0.0231021246546449,0,0,0,0.0588876818541705,1.16965127387054E-05,-1.19071174399847E-06,-5.76057641680749E-07,1.36744432014869E-05,-1.9231970319494E-06,9.97941816125914E-06,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/wrist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/wrist_link.STL,,arm_1_1-1,Origin_wrist_joint,Axis_wrist_joint,wrist_joint,revolute,0,0.063707,-0.3864,0,-0.69813,-1.5708,forearm_tip_link,0.2869,-0.89975,0.32885,0,0,0,0,,,,,,,,
hand_link,0.17681,-0.05137,-0.078289,0,0,0,0.29145,0.00013227,-4.605E-05,-4.9558E-05,0.00020201,-2.3091E-05,0.00015853,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/hand_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MizukiArm_withDT35_3/meshes/hand_link.STL,,hand-1,Origin_hand_joint,Axis_hand_joint,hand_joint,fixed,0.41446,-0.00020011,0.15664,1.3463,0.78525,-0.95801,wrist_link,0,0,0,,,,,,,,,,,,
