Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0179060542105106,-0.026611874598345,2.04369595156325E-05,0,0,0,0.727427477022971,0.00103575596425175,-1.15364011318455E-07,-2.90941828268839E-07,0.00270805739486881,4.21036919807992E-07,0.00171982794250567,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/base_link.STL,,WX-250_XM-430 Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
2nd_Link,-0.000455989029182479,7.55986125734977E-05,0.0418690827014626,0,0,0,0.12533427208754,4.82118907322452E-05,2.96613165389611E-13,1.61883588500157E-07,5.50460256171882E-05,-1.23148266639554E-13,5.44258963228014E-05,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/2nd_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/2nd_Link.STL,,2nd_axis-1,Origin_shoulder_pitch2,Axis_shoulder_pitch,shoulder_pitch,revolute,0,-0.0525,0,1.5708,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
3rd_Link,0.129237698497142,-0.00572273688574605,0.111888586613311,0,0,0,0.17134420758264,9.32201042100472E-05,1.20120101159129E-07,-4.79777554801424E-05,0.00015433812332318,3.40869890593281E-07,9.66568629496689E-05,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/3rd_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/3rd_Link.STL,,3rd_axis-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,revolute,0,0,0.071063,0,0,1.5708,2nd_Link,0,1,0,0,0,0,0,,,,,,,,
forearm_root_Link,-0.103731501655055,-0.0078437541000942,0.222271796715449,0,0,0,0.0961128055839215,3.03487640251212E-05,-2.57021413224873E-08,4.31895961727136E-06,2.95052454577111E-05,7.66392616741625E-08,1.89188661634729E-05,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/forearm_root_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/forearm_root_Link.STL,,forearm_root-2,Origin_forearm_root_joint,Axis_forearm_root_joint,forearm_root_joint,revolute,0.03475,0,0.14175,3.1416,1.1223,3.1416,3rd_Link,0,1,0,0,0,0,0,,,,,,,,
forearm_tip_link,-0.0515869013927555,-0.164372151390541,-0.125366162766173,0,0,0,0.129687644289195,3.10003895485778E-05,-4.82711228636185E-06,3.09461570311233E-06,2.71817249053064E-05,-2.79956975978776E-06,3.84415944855356E-05,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/forearm_tip_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/forearm_tip_link.STL,,WXA-250-6DOF_Forearm-1,Origin_forearm_tip_joint,Axis_forearm_tip_joint,forearm_tip_joint,revolute,0,0,0.15213,-1.5708,0,-1.1443,forearm_root_Link,0,1,0,0,0,0,0,,,,,,,,
wrist_link,0.408193791744499,-0.0478872299377909,0.0216971781257388,0,0,0,0.0588876818541705,1.16965127378391E-05,-1.19071174404654E-06,-5.76057641834992E-07,1.36744432006673E-05,-1.92319703170851E-06,9.97941816116039E-06,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/wrist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/wrist_link.STL,,arm_1_1-1,Origin_wrist_joint,Axis_wrist_joint,wrist_joint,revolute,0,0.063707,-0.3864,0,-0.69813,-1.5708,forearm_tip_link,0.2869,-0.89975,0.32885,0,0,0,0,,,,,,,,
hand_link,0.177261148735247,-0.0536834571107898,-0.075041680800671,0,0,0,0.291454736279853,0.000132273717354236,-4.60499182381077E-05,-4.95583522597708E-05,0.000202007618517158,-2.30910339378055E-05,0.000158531426124786,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/hand_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_v20(2).SLDASM/meshes/hand_link.STL,,hand-1,Origin_hand_joint,Axis_hand_joint,hand_joint,fixed,0.41446,-0.00020011,0.15664,1.3463,0.78525,-0.95801,wrist_link,0,0,0,,,,,,,,,,,,
